id,customer_id,calculation_type,origin,destination,weight_in_tonnes,specific_method,created_at,updated_at,co2_in_g,file_name
606,CVO-3335,truck,"Pantin, France","Gennevilliers, France",0.01112,"",2021-09-07 16:12:22 UTC,2021-09-07 16:12:22 UTC,8,Convelio202109071809220200
607,CVO-28496,truck,"Sant Boi de Llobregat, Spain","Paris, France",0.01112,"",2021-09-07 16:12:23 UTC,2021-09-07 16:12:23 UTC,732,Convelio202109071809220200
608,CVO-17358,truck,"Bruxelles, Belgium","Paris, France",0.01112,"",2021-09-07 16:12:24 UTC,2021-09-07 16:12:24 UTC,231,Convelio202109071809220200
609,CVO-8506,truck,"Gennevilliers, France","Ukkel, Belgium",0.01112,"",2021-09-07 16:12:25 UTC,2021-09-07 16:12:25 UTC,223,Convelio202109071809220200
610,CVO-7882,truck,"Paris, France","Gennevilliers, France",0.01112,"",2021-09-07 16:12:26 UTC,2021-09-07 16:12:26 UTC,8,Convelio202109071809220200
611,CVO-6094,truck,"Gennevilliers, France","Brussel, Belgium",0.01112,"",2021-09-07 16:12:27 UTC,2021-09-07 16:12:27 UTC,228,Convelio202109071809220200
612,CVO-33908,truck,"Paris, France","Milano, Italy",0.01112,"",2021-09-07 16:12:28 UTC,2021-09-07 16:12:28 UTC,560,Convelio202109071809220200
613,CVO-26738,truck,"Paris, France","Anglet, France",0.01112,"",2021-09-07 16:12:30 UTC,2021-09-07 16:12:30 UTC,585,Convelio202109071809220200
614,CVO-19144,truck,"Paris, France","Gerrards Cross, United Kingdom",0.01112,"",2021-09-07 16:12:31 UTC,2021-09-07 16:12:31 UTC,321,Convelio202109071809220200
615,CVO-18070,truck,"Gennevilliers, France","Saint-Tropez, France",0.01112,"",2021-09-07 16:12:32 UTC,2021-09-07 16:12:32 UTC,624,Convelio202109071809220200
616,CVO-11984,truck,"Lyon, France","Paris, France",0.01112,"",2021-09-07 16:12:33 UTC,2021-09-07 16:12:33 UTC,343,Convelio202109071809220200
617,CVO-24490,truck,"Paris, France","Montélier, France",0.01112,"",2021-09-07 16:12:33 UTC,2021-09-07 16:12:33 UTC,421,Convelio202109071809220200
618,CVO-24612,truck,"Paris, France","Antwerpen, Belgium",0.01112,"",2021-09-07 16:12:35 UTC,2021-09-07 16:12:35 UTC,264,Convelio202109071809220200
619,CVO-16604,truck,"Paris, France","Paris, France",0.01112,"",2021-09-07 16:12:35 UTC,2021-09-07 16:12:35 UTC,0,Convelio202109071809220200
620,CVO-16350,truck,"Paris, France","Bruxelles, Belgium",0.01112,"",2021-09-07 16:12:36 UTC,2021-09-07 16:12:36 UTC,231,Convelio202109071809220200
621,CVO-10282,truck,"Gennevilliers, France","Brugge, Belgium",0.01112,"",2021-09-07 16:12:37 UTC,2021-09-07 16:12:37 UTC,230,Convelio202109071809220200
622,CVO-10555,truck,"Gennevilliers, France","London, United Kingdom",0.01112,"",2021-09-07 16:12:38 UTC,2021-09-07 16:12:38 UTC,293,Convelio202109071809220200
623,CVO-20820,truck,"Gennevilliers, France","Monaco, Monaco",0.01112,"",2021-09-07 16:12:39 UTC,2021-09-07 16:12:39 UTC,612,Convelio202109071809220200
624,CVO-17919,truck,"Paris, France","Paris, France",0.01112,"",2021-09-07 16:12:40 UTC,2021-09-07 16:12:40 UTC,0,Convelio202109071809220200
625,CVO-16901,truck,"Gennevilliers, France","Valsemé, France",0.01112,"",2021-09-07 16:12:42 UTC,2021-09-07 16:12:42 UTC,143,Convelio202109071809220200
626,CVO-9132,truck,"Gennevilliers, France","Kapellen, Belgium",0.01112,"",2021-09-07 16:12:43 UTC,2021-09-07 16:12:43 UTC,269,Convelio202109071809220200
627,CVO-14217,truck,"Paris, France","Brussel, Belgium",0.01112,"",2021-09-07 16:12:43 UTC,2021-09-07 16:12:43 UTC,231,Convelio202109071809220200
628,CVO-27439,truck,"Gennevilliers, France","Paris, France",0.01112,"",2021-09-07 16:12:44 UTC,2021-09-07 16:12:44 UTC,8,Convelio202109071809220200
629,CVO-27483,truck,"Gennevilliers, France","Château-Landon, France",0.01112,"",2021-09-07 16:12:45 UTC,2021-09-07 16:12:45 UTC,80,Convelio202109071809220200
630,CVO-8504,truck,"Paris, France","Gent, Belgium",0.01112,"",2021-09-07 16:12:46 UTC,2021-09-07 16:12:46 UTC,230,Convelio202109071809220200
631,CVO-16031,truck,"Paris, France","Gennevilliers, France",0.01112,"",2021-09-07 16:12:47 UTC,2021-09-07 16:12:47 UTC,8,Convelio202109071809220200
632,CVO-18312,truck,"Gennevilliers, France","Paris, France",0.01112,"",2021-09-07 16:12:48 UTC,2021-09-07 16:12:48 UTC,8,Convelio202109071809220200
633,CVO-18971,truck,"Gennevilliers, France","Luxembourg, Luxembourg",0.01112,"",2021-09-07 16:12:49 UTC,2021-09-07 16:12:49 UTC,258,Convelio202109071809220200
634,CVO-20144,air_freight,"Gennevilliers, France","Braine-le-Château, Belgium",0.01112,freighter,2021-09-07 16:12:50 UTC,2021-09-07 16:12:50 UTC,1937,Convelio202109071809220200
635,CVO-11247,air_freight,"London, United Kingdom","Casablanca, Morocco",0.01112,freighter,2021-09-07 16:12:51 UTC,2021-09-07 16:12:51 UTC,13605,Convelio202109071809220200
636,CVO-35067,air_freight,"Paris, France","Singapore, Singapore",0.001,freighter,2021-09-07 16:12:52 UTC,2021-09-07 16:12:52 UTC,5133,Convelio202109071809220200
637,CVO-34040,truck,"Paris, France","Wollerau, Switzerland",0.001,"",2021-09-07 16:12:53 UTC,2021-09-07 16:12:53 UTC,40,Convelio202109071809220200
638,CVO-34576,air_freight,"Paris, France","London, Canada",0.001,freighter,2021-09-07 16:12:54 UTC,2021-09-07 16:12:54 UTC,2924,Convelio202109071809220200
639,CVO-34581,truck,"Paris, France","Zaventem, Belgium",0.001,"",2021-09-07 16:12:55 UTC,2021-09-07 16:12:55 UTC,21,Convelio202109071809220200
640,CVO-33930,truck,"Paris, France","Firenze, Italy",0.001,"",2021-09-07 16:12:56 UTC,2021-09-07 16:12:56 UTC,70,Convelio202109071809220200
641,CVO-25927,air_freight,"Gennevilliers, France","Yokohama, Japan",0.001,freighter,2021-09-07 16:12:57 UTC,2021-09-07 16:12:57 UTC,4660,Convelio202109071809220200
642,CVO-25964,air_freight,"Gennevilliers, France","Ashfield, United States",0.001,freighter,2021-09-07 16:12:58 UTC,2021-09-07 16:12:58 UTC,2670,Convelio202109071809220200
644,CVO-34670,air_freight,"Paris, France","Tainan City, Taiwan",0.001,freighter,2021-09-07 16:13:00 UTC,2021-09-07 16:13:00 UTC,4758,Convelio202109071809220200
645,CVO-30119,truck,"Gennevilliers, France","London, United Kingdom",0.001,"",2021-09-07 16:13:01 UTC,2021-09-07 16:13:01 UTC,26,Convelio202109071809220200
646,CVO-27222,air_freight,"Gennevilliers, France","Birmingham, United States",0.001,freighter,2021-09-07 16:13:02 UTC,2021-09-07 16:13:02 UTC,3446,Convelio202109071809220200
647,CVO-19398,air_freight,"Paris, France","Hong Kong, Hong Kong",0.001,freighter,2021-09-07 16:13:03 UTC,2021-09-07 16:13:03 UTC,4611,Convelio202109071809220200
648,CVO-33396,truck,"Paris, France","London, United Kingdom",0.001,"",2021-09-07 16:13:04 UTC,2021-09-07 16:13:04 UTC,27,Convelio202109071809220200
649,CVO-36971,air_freight,"Paris, France","New York, United States",0.001,freighter,2021-09-07 16:13:05 UTC,2021-09-07 16:13:05 UTC,2764,Convelio202109071809220200
650,CVO-35897,air_freight,"Paris, France","Houston, United States",0.001,freighter,2021-09-07 16:13:06 UTC,2021-09-07 16:13:06 UTC,3883,Convelio202109071809220200
651,CVO-36220,truck,"Paris, France","Madrid, Spain",0.001,"",2021-09-07 16:13:06 UTC,2021-09-07 16:13:06 UTC,83,Convelio202109071809220200
652,CVO-36861,air_freight,"Gennevilliers, France","Fort Lauderdale, United States",0.001,freighter,2021-09-07 16:13:07 UTC,2021-09-07 16:13:07 UTC,3500,Convelio202109071809220200
653,CVO-26688,air_freight,"Gennevilliers, France","Chicago, United States",0.002,freighter,2021-09-07 16:13:08 UTC,2021-09-07 16:13:08 UTC,6322,Convelio202109071809220200
654,CVO-25695,truck,"Gennevilliers, France","Amsterdam, Netherlands",0.002,"",2021-09-07 16:13:09 UTC,2021-09-07 16:13:09 UTC,67,Convelio202109071809220200
655,CVO-34425,truck,"Paris, France","Lisboa, Portugal",0.002,"",2021-09-07 16:13:11 UTC,2021-09-07 16:13:11 UTC,229,Convelio202109071809220200
656,CVO-33924,truck,"Gennevilliers, France","Rambrouch, Luxembourg",0.002,"",2021-09-07 16:13:12 UTC,2021-09-07 16:13:12 UTC,44,Convelio202109071809220200
